UF,Cidade,Lat,Lon,ID,,
AC,Acrelândia,-9.825808,-66.897166,2,,
AC,Assis Brasil,-10.9409203,-69.5672108,2,,
AC,Brasiléia,-11.0012764,-68.7487974,2,,
AC,Bujari,-9.8309656,-67.9520886,2,,
AC,Capixaba,-10.5729683,-67.6760894,2,,
AC,Cruzeiro do Sul,-7.6307956,-72.6703869,2,,
AC,Epitaciolândia,-11.0289439,-68.7411519,2,,
AC,Feijó,-8.1639128,-70.3541781,2,,
AC,Jordão,-9.4338167,-71.8843997,2,,
AC,Mâncio Lima,-7.6137775,-72.8964167,2,,
AC,Manoel Urbano,-8.8389428,-69.2601292,2,,
AC,Marechal Thaumaturgo,-8.9407511,-72.79151,2,,
AC,Plácido de Castro,-10.2759758,-67.1500664,2,,
AC,Porto Acre,-9.5879722,-67.53307,2,,
AC,Porto Walter,-8.2687722,-72.7444458,2,,
AC,Rio Branco,-9.976536213,-67.82207776,4,,
AC,Rodrigues Alves,-7.7417936,-72.6473894,2,,
AC,Santa Rosa do Purus,-9.4338948,-70.4909019,2,,
AC,Sena Madureira,-9.0659556,-68.6571058,2,,
AC,Senador Guiomard,-10.1509675,-67.7360856,2,,
AC,Tarauacá,-8.1608981,-70.7662092,2,,
AC,Xapuri,-10.6519528,-68.5041297,2,,
AL,Água Branca,-9.285143,-37.847545,2,,
AL,Anadia,-9.684886,-36.307783,2,,
AL,Arapiraca,-9.7549,-36.6616,2,,
AL,Atalaia,-9.511898,-36.008552,2,,
AL,Barra de Santo Antônio,-9.402297,-35.510083,2,,
AL,Barra de São Miguel,-9.823274,-35.885578,2,,
AL,Batalha,-9.674195,-37.133014,2,,
AL,Belém,-9.570472,-36.490399,2,,
AL,Belo Monte,-9.822718,-37.277014,2,,
AL,Boca da Mata,-9.643082,-36.212498,2,,
AL,Branquinha,-9.2478057,-36.0152009,2,,
AL,Cacimbinhas,-9.401212,-36.991082,2,,
AL,Cajueiro,-9.399402,-36.155937,2,,
AL,Campestre,-8.847228,-35.56847,2,,
AL,Campo Alegre,-9.782967,-36.3527835,2,,
AL,Campo Grande,-9.9554162,-36.7926146,2,,
AL,Canapi,-9.119319,-37.5967,2,,
AL,Capela,-9.415041,-36.082583,2,,
AL,Carneiros,-9.484762,-37.377303,2,,
AL,Chã Preta,-9.255605,-36.298334,2,,
AL,Coité do Nóia,-9.633484,-36.584493,2,,
AL,Colônia Leopoldina,-8.918058,-35.721414,2,,
AL,Coqueiro Seco,-9.637147,-35.799377,2,,
